"Sección","Nombre de marca blanca sugerido","Enfoque/Inspiración"
"Frutas y verduras frescas","VerdeRaíz","Natural, fresco, saludable"
"Carnes y aves","SaborCampo","Tradición, origen, confianza"
"Pescados y mariscos","Marisenda","Frescura, mar, calidad"
"Panadería y bollería fresca","Panalia","Artesanal, variedad, sabor"
"Huevos y ovoproductos","GranjaSelecta","Tradición, natural, bienestar animal"
"Lácteos y derivados","Lactea","Frescura, origen, variedad"
"Quesos","Quesarte","Artesanía, sabor, tradición"
"Yogures y postres lácteos","Delilácteos","Cremoso, saludable, variedad"
"Mantequillas y margarinas","Untalia","Untables, suavidad, sabor"
"Arroces, pastas y legumbres","GranoVivo","Tradición, variedad, mediterráneo"
"Conservas y semiconservas","Conservalia","Práctico, calidad, sabor"
"Aceites y vinagres","OroLíquido","Premium, saludable, mediterráneo"
"Harinas y preparados","Molinaria","Artesanal, tradición, repostería"
"Caldos y sopas","CaldoCasa","Casero, reconfortante, práctico"
"Especias y condimentos","Aromaria","Sabor, variedad, gourmet"
"Aguas","AguaClara","Pura, saludable, refrescante"
"Refrescos","Refresca","Energía, sabor, diversión"
"Zumos y néctares","Frutalia","Natural, vitaminas, frescura"
"Cafés e infusiones","AromaSelect","Tradición, aroma, placer"
"Cervezas y sidras","Brío","Frescura, artesanal, joven"
"Vinos y licores","Viñaluz","Selección, calidad, origen"
"Galletas y bizcochos","Dulzaria","Dulce, tradicional, familiar"
"Chocolates y caramelos","Chocovía","Placer, variedad, tentación"
"Snacks salados","Snackis","Moderno, divertido, práctico"
"Repostería y productos hornear","Repostalia","Creatividad, repostería, hogar"
"Congelados vegetales","Frescogel","Frescura, práctico, saludable"
"Congelados pescado/marisco","Marifresco","Mar, calidad, práctico"
"Congelados carne/aves","Carnifresco","Práctico, variedad, sabor"
"Platos preparados congelados","ListoYa","Comodidad, rapidez, variedad"
"Helados y postres congelados","Cremelia","Dulce, placer, verano"
"Limpieza general","Brillanza","Limpieza, eficacia, frescor"
"Lavavajillas y lavadoras","Lavaria","Eficiencia, cuidado, hogar"
"Papel y celulosas","Suavitex","Suavidad, higiene, familiar"
"Bolsas y envases","Packalia","Práctico, ecológico, funcional"
"Higiene personal","Pureza","Cuidado, frescura, bienestar"
"Cuidado bucal","Sonrident","Salud, frescura, confianza"
"Cosmética y facial","Dermalia","Belleza, natural, cuidado"
"Salud y parafarmacia","Saludaris","Bienestar, confianza, prevención"
"Mascotas","Mascotina","Cariño, salud, diversión"